category,URL
fragrance,https://www.sephora.com/product/mon-paris-eau-de-toilette-lumiere-P500170?skuId=2546125&icid2=products%20grid:p500170:product
fragrance,https://www.sephora.com/product/maude-burn-jojoba-oil-massage-candle-P481123?skuId=2562122&icid2=products%20grid:p481123:product
fragrance,https://www.sephora.com/product/marc-jacobs-fragrances-perfect-eau-de-parfum-gift-set-P476535?skuId=2549707&icid2=products%20grid:p476535:product
fragrance,https://www.sephora.com/product/dolce-gabbana-light-blue-italian-love-eau-de-toilette-P483100?skuId=2544096&icid2=products%20grid:p483100:product
fragrance,https://www.sephora.com/product/candy-P376127?skuId=1361948&icid2=products%20grid:p376127:product
fragrance,https://www.sephora.com/product/viktor-rolf-flowerbomb-ruby-orchid-eau-de-parfum-travel-spray-P479474?skuId=2480598&icid2=products%20grid:p479474:product
fragrance,https://www.sephora.com/product/nest-himalayan-salt-rosewater-candle-P483676?skuId=2528313&icid2=products%20grid:p483676:product
fragrance,https://www.sephora.com/product/j-adore-eau-de-parfum-P6430?skuId=420588&icid2=products%20grid:p6430:product
fragrance,https://www.sephora.com/product/nest-golden-nectar-eau-de-parfum-travel-spray-P480331?skuId=2544898&icid2=products%20grid:p480331:product
fragrance,https://www.sephora.com/product/phlur-phloria-eau-de-parfum-P482718?skuId=2568392&icid2=products%20grid:p482718:product
fragrance,https://www.sephora.com/product/versace-dylan-turquoise-P468856?skuId=2427482&icid2=products%20grid:p468856:product
fragrance,https://www.sephora.com/product/dolce-gabbana-light-blue-pour-homme-eau-de-toilette-travel-spray-P479312?skuId=2474450&icid2=products%20grid:p479312:product
fragrance,https://www.sephora.com/product/voluspa-kalahari-watermelon-glass-jar-candle-P480377?skuId=2540920&icid2=products%20grid:p480377:product
fragrance,https://www.sephora.com/product/kilian-miniature-eau-de-parfum-set-P479307?skuId=2474211&icid2=products%20grid:p479307:product
fragrance,https://www.sephora.com/product/nest-mini-himalayan-salt-rosewater-candle-P483677?skuId=2532018&icid2=products%20grid:p483677:product
fragrance,https://www.sephora.com/product/mon-paris-eau-de-parfum-P410181?skuId=1838861&icid2=products%20grid:p410181:product
fragrance,https://www.sephora.com/product/giorgio-armani-beauty-my-way-florale-P483111?skuId=2551091&icid2=products%20grid:p483111:product
fragrance,https://www.sephora.com/product/ameline-eau-de-parfum-P440207?skuId=2568434&icid2=products%20grid:p440207:product
fragrance,https://www.sephora.com/product/clean-reserve-reserve-travel-spray-perfume-set-P482519?skuId=2552453&icid2=products%20grid:p482519:product
fragrance,https://www.sephora.com/product/dolce-gabbana-dolce-lily-eau-de-toilette-P480295?skuId=2544062&icid2=products%20grid:p480295:product
fragrance,https://www.sephora.com/product/maude-wash-ph-balanced-body-wash-bubble-bath-P481118?skuId=2562049&icid2=products%20grid:p481118:product
fragrance,https://www.sephora.com/product/skylar-coconut-cove-eau-de-parfum-P479349?skuId=2497774&icid2=products%20grid:p479349:product
fragrance,https://www.sephora.com/product/moroccanoil-brumes-du-maroc-hair-body-fragrance-mist-P474353?skuId=2483121&icid2=products%20grid:p474353:product
fragrance,https://www.sephora.com/product/chance-P138300?skuId=909093&icid2=products%20grid:p138300:product
fragrance,https://www.sephora.com/product/floral-street-wonderland-peony-perfume-gift-set-P483154?skuId=2543932&icid2=products%20grid:p483154:product
fragrance,https://www.sephora.com/product/skylar-coconut-cove-eau-de-parfum-rollerball-P479350?skuId=2497782&icid2=products%20grid:p479350:product
fragrance,https://www.sephora.com/product/tom-ford-lost-cherry-travel-spray-P464308?skuId=2369387&icid2=products%20grid:p464308:product
fragrance,https://www.sephora.com/product/kilian-apple-brandy-eau-de-parfum-travel-spray-P480178?skuId=2474310&icid2=products%20grid:p480178:product
fragrance,https://www.sephora.com/product/giorgio-armani-beauty-acqua-di-gioia-perfume-gift-set-P480577?skuId=2531416&icid2=products%20grid:p480577:product
fragrance,https://www.sephora.com/product/bleu-de-chanel-eau-de-parfum-travel-spray-gift-set-P424079?skuId=2079952&icid2=products%20grid:p424079:product
fragrance,https://www.sephora.com/product/abbott-crescent-beach-perfume-P483079?skuId=2584365&icid2=products%20grid:p483079:product
fragrance,https://www.sephora.com/product/jo-malone-london-silk-blossom-diffuser-P482017?skuId=2554210&icid2=products%20grid:p482017:product
fragrance,https://www.sephora.com/product/abbott-the-cape-perfume-P483139?skuId=2584316&icid2=products%20grid:p483139:product
fragrance,https://www.sephora.com/product/si-eau-de-parfum-P388029?skuId=1571405&icid2=products%20grid:p388029:product
fragrance,https://www.sephora.com/product/mmmm-travel-spray-P412676?skuId=1884592&icid2=products%20grid:p412676:product
fragrance,https://www.sephora.com/product/abbott-mojave-perfume-P483107?skuId=2584324&icid2=products%20grid:p483107:product
fragrance,https://www.sephora.com/product/viva-la-juicy-P219412?skuId=1108109&icid2=products%20grid:p219412:product
fragrance,https://www.sephora.com/product/abbott-big-sky-perfume-travel-spray-P483072?skuId=2584407&icid2=products%20grid:p483072:product
fragrance,https://www.sephora.com/product/forvr-mood-chasing-waterfalls-candle-P481985?skuId=2552552&icid2=products%20grid:p481985:product
fragrance,https://www.sephora.com/product/otherland-verdant-verve-neroli-blossom-vegan-candle-P473184?skuId=2459469&icid2=products%20grid:p473184:product
fragrance,https://www.sephora.com/product/maison-margiela-lazy-sunday-morning-shower-gel-P479720?skuId=2471555&icid2=products%20grid:p479720:product
fragrance,https://www.sephora.com/product/abbott-montecito-perfume-travel-spray-P483110?skuId=2584415&icid2=products%20grid:p483110:product
fragrance,https://www.sephora.com/product/abbott-sequoia-perfume-travel-spray-P483131?skuId=2584399&icid2=products%20grid:p483131:product
fragrance,https://www.sephora.com/product/voluspa-ultrasonic-diffuser-oil-P483070?skuId=2562551&icid2=products%20grid:p483070:product
fragrance,https://www.sephora.com/product/abbott-sequoia-perfume-P483130?skuId=2584332&icid2=products%20grid:p483130:product
